flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
6,day_2,20/04/2014,8:00:00 AM,128,14,150.5,482.4477,5.450937,20.00271,400.0088,418.6708,93.69189,201.3774,100,495.9337,5.480414,-11.53876
6,day_2,20/04/2014,8:00:20 AM,129,15,150.5,450.9765,5.10238,19.99981,399.9999,419.17,83.86517,201.414,100,463.994,5.133436,-10.38617
6,day_2,20/04/2014,8:00:40 AM,130,16,150.5,473.8326,5.356447,20.00025,399.9995,418.8383,92.79507,201.5535,100,487.1895,5.386302,-11.07645
6,day_2,20/04/2014,8:01:00 AM,131,3,150.5,755.3482,8.313935,19.99877,400.0032,436.7212,129.3683,201.0883,100,773.0894,8.332517,-35.91251
6,day_2,20/04/2014,8:01:20 AM,132,4,150.5,311.6087,3.438051,19.99669,399.9912,438.4958,140.7914,201.391,100,322.4293,3.475187,-35.91885
6,day_2,20/04/2014,8:01:40 AM,133,17,150.5,443.1086,5.013457,20.00294,399.9926,421.4819,94.21321,201.2686,100,456.2108,5.04634,-10.5797
6,day_2,20/04/2014,8:02:00 AM,134,18,150.5,478.5672,5.404786,19.99763,399.9986,420.5885,86.76601,201.2776,100,492.2361,5.436144,-12.15811
6,day_2,20/04/2014,8:02:20 AM,135,5,150.5,441.618,4.998367,19.99961,400.0005,420.2067,84.62176,201.263,100,454.6973,5.031389,-10.22726
6,day_2,20/04/2014,8:02:40 AM,136,6,150.5,474.9458,5.368311,20.00344,400.0001,420.9131,64.85423,201.2617,100,488.5546,5.399806,-11.36726
6,day_2,20/04/2014,8:03:00 AM,137,9,150.5,452.8164,5.123378,20.00455,400.0006,420.185,79.48434,201.2244,100,466.0741,5.155844,-10.50252
6,day_2,20/04/2014,8:03:20 AM,138,10,150.5,478.8074,5.412732,20.00153,400.001,420.8069,62.6814,201.22,100,492.4735,5.444017,-11.20463
6,day_2,20/04/2014,8:03:40 AM,139,11,150.5,439.9916,4.979496,20.00153,399.9973,419.0307,101.6365,201.2258,100,453.0455,5.012577,-10.33308
6,day_2,20/04/2014,8:04:00 AM,140,12,150.5,470.2015,5.314328,20.00186,400.0002,418.9654,100.0481,201.2571,100,483.721,5.345891,-11.45806
