flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
2,day_2,7/12/2013,11:54:40 AM,215,14,150.5,389.0042,4.344902,20.00184,399.9994,438.2544,95.3074,198.3829,100,396.1056,4.368339,-13.54958
2,day_2,7/12/2013,11:55:00 AM,216,15,150.5,380.7805,4.273054,19.99985,400.0015,438.4995,86.03773,198.3685,100,387.891,4.297143,-9.076794
2,day_2,7/12/2013,11:55:20 AM,217,16,150.5,390.1441,4.360353,20.00533,400,438.0008,94.89487,198.4775,100,397.2495,4.383702,-12.93084
2,day_2,7/12/2013,11:55:40 AM,218,11,150.5,381.524,4.281429,19.99717,400.0006,437.5648,102.987,198.4482,100,388.6266,4.305353,-9.062879
2,day_2,7/12/2013,11:56:00 AM,219,12,150.5,387.4425,4.326127,19.9964,399.9968,437.6136,100.8915,198.8638,100,394.5449,4.34971,-13.87104
2,day_2,7/12/2013,11:56:20 AM,220,7,150.5,378.2292,4.245232,19.99946,399.9986,438.288,86.2906,199.1023,100,385.3275,4.269383,-8.928482
2,day_2,7/12/2013,11:56:40 AM,221,8,150.5,378.0514,4.224506,19.99657,400.1459,438.9516,70.4092,200.043,100,385.1599,4.248919,-13.24937
2,day_2,7/12/2013,11:57:00 AM,222,9,150.5,380.1945,4.265662,20.00284,399.996,438.556,81.05676,198.3467,100,387.2927,4.289694,-9.266356
2,day_2,7/12/2013,11:57:20 AM,223,10,150.5,386.1583,4.321106,19.99874,399.9992,440.2238,47.18742,198.3365,100,393.2548,4.344643,-11.78829
2,day_2,7/12/2013,11:57:40 AM,224,5,150.5,379.3477,4.257401,20.00594,399.9984,438.285,87.55527,198.3062,100,386.4471,4.281495,-8.996395
2,day_2,7/12/2013,11:58:00 AM,225,6,150.5,378.8146,4.234624,20.00184,399.9996,439.2696,66.52795,198.4536,100,385.9191,4.258962,-12.86297
2,day_2,7/12/2013,11:58:20 AM,226,13,150.5,379.1004,4.254775,20.00361,399.9989,438.7811,77.31273,198.3761,100,386.2015,4.278842,-8.980374
2,day_2,7/12/2013,11:58:40 AM,227,14,150.5,390.9933,4.367903,20.00086,399.9955,437.9488,95.28233,198.4557,100,398.0956,4.391133,-13.35911
2,day_2,7/12/2013,11:59:00 AM,228,15,150.5,379.6221,4.260644,20.00035,400.0002,438.3916,85.95941,198.4886,100,386.722,4.284708,-8.957741
2,day_2,7/12/2013,11:59:20 AM,229,16,150.5,391.1649,4.372128,19.99661,399.998,437.9819,94.85539,198.6348,100,398.2667,4.395373,-12.83068
2,day_2,7/12/2013,11:59:40 AM,230,11,150.5,379.7952,4.263201,20.0055,399.9996,437.5977,102.8493,198.6383,100,386.8889,4.287191,-8.811049
2,day_2,7/12/2013,12:00:00 PM,231,12,150.5,386.5463,4.316919,20.0031,400.0007,437.6656,100.7951,199.0381,100,393.6445,4.340522,-13.7029
2,day_2,7/12/2013,12:00:20 PM,232,7,150.5,380.8137,4.275064,20.00192,400,438.3415,86.12273,199.3723,100,387.9181,4.299089,-8.697243
2,day_2,7/12/2013,12:00:40 PM,233,8,150.5,378.6468,4.232355,20.00122,400.0007,439.013,70.37273,200.1795,100,385.7528,4.256658,-12.97179
2,day_2,7/12/2013,12:01:00 PM,234,9,150.5,379.5896,4.260393,20.00292,399.9957,438.6276,80.9855,198.5635,100,386.6714,4.284244,-8.935397
2,day_2,7/12/2013,12:01:20 PM,235,10,150.5,386.7599,4.329127,20.00082,400.0006,440.2839,47.02145,198.5603,100,393.8566,4.352595,-11.49213
2,day_2,7/12/2013,12:01:40 PM,236,3,150.5,766.022,8.340055,20.00195,400.015,457.2394,142.6909,198.3255,100,773.1259,8.331871,-36.03281
2,day_2,7/12/2013,12:02:00 PM,237,4,150.5,315.3658,3.445508,19.99414,400.0006,458.349,123.5417,198.5819,100,322.4698,3.476069,-35.79536
2,day_2,7/12/2013,12:02:20 PM,238,5,150.5,379.1459,4.256227,20.00243,399.993,440.4171,87.45494,198.3889,100,386.4111,4.281648,-8.868636
2,day_2,7/12/2013,12:02:40 PM,239,6,150.5,380.4223,4.252451,20.00614,399.9986,440.3953,66.43819,198.4802,100,387.6996,4.278002,-13.00362
2,day_2,7/12/2013,12:03:00 PM,240,13,150.5,379.3486,4.257723,19.99679,399.9987,439.3706,77.28485,198.3407,100,386.6353,4.283308,-9.059196
2,day_2,7/12/2013,12:03:20 PM,241,14,150.5,391.1183,4.369104,19.99812,399.997,438.2726,95.28191,198.3752,100,398.3896,4.393637,-13.52479
2,day_2,7/12/2013,12:03:40 PM,242,15,150.5,381.1158,4.277534,20.00264,400.0005,438.6061,85.99798,198.4027,100,388.402,4.303041,-9.021939
2,day_2,7/12/2013,12:04:00 PM,243,16,150.5,390.667,4.366651,20.00546,400.0022,438.1282,94.87367,198.5304,100,397.9382,4.391178,-12.95871
2,day_2,7/12/2013,12:04:20 PM,244,11,150.5,378.7154,4.250845,19.99911,400.0006,437.729,102.8986,198.4807,100,385.9995,4.276495,-9.005809
2,day_2,7/12/2013,12:04:40 PM,245,12,150.5,387.6866,4.329154,20.00236,399.9998,437.7878,100.7947,198.957,100,394.9709,4.354156,-13.9276
2,day_2,7/12/2013,12:05:00 PM,246,7,150.5,380.9945,4.27709,19.99962,400.0002,438.4678,86.16866,199.2571,100,388.2694,4.302433,-8.823494
2,day_2,7/12/2013,12:05:20 PM,247,8,150.5,379.7391,4.244024,20.0004,399.999,439.1377,70.4693,200.0498,100,386.9946,4.269446,-13.1831
2,day_2,7/12/2013,12:05:40 PM,248,9,150.5,380.8749,4.274559,20.00634,400.0013,438.7868,81.03489,198.4355,100,388.1469,4.299913,-9.091472
2,day_2,7/12/2013,12:06:00 PM,249,10,150.5,387.7384,4.339224,20.00336,399.9986,440.4132,47.10847,198.446,100,395.0168,4.364029,-11.80639
2,day_2,7/12/2013,12:06:20 PM,250,5,150.5,379.6676,4.262745,20.00215,399.9966,438.4991,87.39268,198.4396,100,386.9362,4.288126,-8.715926
2,day_2,7/12/2013,12:06:40 PM,251,6,150.5,383.2516,4.284111,20.00035,399.9975,439.4537,66.40594,198.5854,100,390.5325,4.309446,-12.96123
2,day_2,7/12/2013,12:07:00 PM,252,13,150.5,378.9214,4.254594,20.00044,399.9977,438.9451,77.23227,198.481,100,386.2008,4.280175,-8.670016
2,day_2,7/12/2013,12:07:20 PM,253,14,150.5,393.7715,4.399657,19.99795,399.9996,438.0718,95.22068,198.5229,100,401.0456,4.423969,-13.29295
2,day_2,7/12/2013,12:07:40 PM,254,15,150.5,379.2743,4.258381,20.00365,400.0004,438.5167,85.93179,198.4877,100,386.5315,4.283712,-8.699669
2,day_2,7/12/2013,12:08:00 PM,255,16,150.5,391.6242,4.377693,19.99742,400.0005,438.1069,94.8523,198.6003,100,398.9036,4.402179,-12.88072
2,day_2,7/12/2013,12:08:20 PM,256,11,150.5,379.4025,4.258896,20.00672,400.0038,437.6743,102.8741,198.5345,100,386.6788,4.284394,-8.919433
2,day_2,7/12/2013,12:08:40 PM,257,12,150.5,390.7059,4.360955,19.99614,400.0013,437.6956,100.6975,198.9475,100,397.9867,4.385702,-14.30969
2,day_2,7/12/2013,12:09:00 PM,258,7,150.5,378.2865,4.245479,19.99991,400.0032,438.3766,86.07468,199.2769,100,385.5604,4.271022,-9.146648
2,day_2,7/12/2013,12:09:20 PM,259,8,150.5,381.8383,4.265583,20.00277,400.001,439.0404,70.33987,200.0495,100,389.1064,4.290917,-13.60319
2,day_2,7/12/2013,12:09:40 PM,260,9,150.5,379.9402,4.263197,19.99726,400,438.6619,81.04562,198.3193,100,387.1893,4.288337,-9.315174
2,day_2,7/12/2013,12:10:00 PM,261,10,150.5,390.007,4.363284,20.0014,399.9992,440.3009,47.0557,198.3382,100,397.2856,4.388,-12.05298
2,day_2,7/12/2013,12:10:20 PM,262,3,150.5,766.2947,8.340011,20.00259,400.0119,457.2411,142.7776,198.1189,100,773.6924,8.333487,-36.55178
2,day_2,7/12/2013,12:10:40 PM,263,4,150.5,315.4705,3.445736,20.00032,400.0019,458.3647,123.2639,198.4371,100,322.723,3.477595,-36.12896
2,day_2,7/12/2013,12:11:00 PM,264,5,150.5,378.1263,4.244281,20.00049,399.9933,440.4716,87.48521,198.2945,100,385.2749,4.269675,-8.725346
2,day_2,7/12/2013,12:11:20 PM,265,6,150.5,384.8383,4.300078,20.0003,399.9981,440.4413,66.4604,198.4103,100,391.979,4.324965,-13.06255
2,day_2,7/12/2013,12:11:40 PM,266,13,150.5,377.0698,4.232267,19.9994,400.0001,439.3944,77.24287,198.3563,100,384.2172,4.257791,-8.763191
2,day_2,7/12/2013,12:12:00 PM,267,14,150.5,395.1159,4.411918,20.00147,399.9983,438.3363,95.19324,198.4263,100,402.2644,4.436048,-13.59667
