flux_campaign,day,Date,TIMESTAMP,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,2,23/02/2014,7:18:40 AM,106,4,150.5,313.61,3.439071,20.00117,400.006,462.8251,141.2986,195.8201,100,322.5447,3.477825,-35.5322
4,2,23/02/2014,7:19:00 AM,107,13,150.5,410.8557,4.623918,19.99706,399.993,445.2486,81.42171,195.8983,100,420.5462,4.656344,-9.621256
4,2,23/02/2014,7:19:20 AM,108,14,150.5,434.5216,4.884105,20.00202,399.9945,443.5029,98.71547,195.9662,100,444.3892,4.915347,-10.62576
4,2,23/02/2014,7:19:40 AM,109,17,150.5,406.9624,4.580864,19.99851,399.9968,442.9252,100.1524,195.9407,100,416.6546,4.61381,-9.502332
4,2,23/02/2014,7:20:00 AM,110,18,150.5,453.7511,5.097262,19.99866,399.9992,443.0612,91.95052,195.9893,100,463.7574,5.127489,-11.02839
4,2,23/02/2014,7:20:20 AM,111,5,150.5,403.0947,4.537713,20.00173,400.0007,442.9478,90.34209,195.9304,100,412.7527,4.570767,-9.466394
4,2,23/02/2014,7:20:40 AM,112,6,150.5,431.4845,4.850464,20.0052,400.0001,443.7864,70.16066,195.9155,100,441.332,4.881868,-10.55754
4,2,23/02/2014,7:21:00 AM,113,9,150.5,407.9929,4.592627,19.99668,400.0002,443.0828,84.39132,195.9134,100,417.6673,4.625185,-9.467795
4,2,23/02/2014,7:21:20 AM,114,10,150.5,437.4099,4.916803,20.00021,400.0006,444.4747,55.04985,195.9272,100,447.297,4.947942,-10.53931
4,2,23/02/2014,7:21:40 AM,115,7,150.5,406.7579,4.57855,20.00159,399.9987,442.8031,87.16531,198.2435,100,416.4134,4.611059,-9.519491
4,2,23/02/2014,7:22:00 AM,116,8,150.5,446.9445,5.021881,20.00251,399.9992,443.4086,74.42986,197.0764,100,456.8989,5.05247,-10.86938
4,2,23/02/2014,7:22:20 AM,117,11,150.5,405.8813,4.56865,20.00038,399.9986,441.9492,107.2925,195.9699,100,415.5498,4.601439,-9.531922
4,2,23/02/2014,7:22:40 AM,118,12,150.5,438.4795,4.928125,19.99863,400.0032,442.0552,105.391,196.0343,100,448.3795,4.959177,-10.68673
4,2,23/02/2014,7:23:00 AM,119,13,150.5,407.72,4.589081,19.99809,400.0016,443.1692,81.41637,195.9181,100,417.3748,4.621485,-9.566628
4,2,23/02/2014,7:23:20 AM,120,14,150.5,433.2259,4.869523,19.99361,399.9994,442.4011,98.72605,195.9707,100,443.0872,4.900858,-10.64349
4,2,23/02/2014,7:23:40 AM,121,17,150.5,408.7353,4.600365,19.99943,399.9992,442.371,100.1569,195.9461,100,418.4144,4.632907,-9.585679
4,2,23/02/2014,7:24:00 AM,122,18,150.5,451.5823,5.072808,20.00041,399.9996,442.7398,91.96014,196.0105,100,461.575,5.103134,-11.07211
4,2,23/02/2014,7:24:20 AM,123,5,150.5,405.9255,4.568777,19.99906,399.9996,442.7771,90.34871,195.9128,100,415.602,4.601704,-9.599356
4,2,23/02/2014,7:24:40 AM,124,6,150.5,430.1943,4.836331,20.0008,400.0003,443.6714,70.1579,195.9223,100,440.0336,4.867786,-10.50045
4,2,23/02/2014,7:25:00 AM,125,9,150.5,408.4743,4.597733,20.00079,399.999,443.0193,84.38106,195.9157,100,418.1615,4.630361,-9.531317
4,2,23/02/2014,7:25:20 AM,126,10,150.5,457.4132,5.137508,19.99866,399.9996,444.4589,55.05158,195.9273,100,467.4399,5.167497,-11.16374
4,2,23/02/2014,7:25:40 AM,127,7,150.5,403.801,4.546167,20.0015,399.9999,442.7833,87.16586,198.2348,100,413.4542,4.579105,-9.343255
4,2,23/02/2014,7:26:00 AM,128,8,150.5,445.2755,5.003248,19.99459,399.9993,443.4183,74.38366,197.1245,100,455.2253,5.033924,-10.87717
4,2,23/02/2014,7:26:20 AM,129,11,150.5,406.43,4.575003,19.99757,400.0009,441.9506,107.3026,195.9441,100,416.0992,4.607717,-9.490075
4,2,23/02/2014,7:26:40 AM,130,12,150.5,436.4499,4.905404,19.99838,400.0008,442.0065,105.3944,196.0167,100,446.3287,4.93655,-10.67578
4,2,23/02/2014,7:27:00 AM,131,3,150.5,761.1403,8.318271,19.99999,400.0236,461.4364,140.0676,195.5471,100,773.3328,8.332733,-36.19093
4,2,23/02/2014,7:27:20 AM,132,4,150.5,313.5797,3.438606,20.00381,400.0066,462.7726,141.197,195.8149,100,322.5901,3.476907,-35.92234
4,2,23/02/2014,7:27:40 AM,133,13,150.5,404.8171,4.556877,20.00167,399.9923,445.2115,81.34964,195.9283,100,414.5104,4.590159,-9.482192
4,2,23/02/2014,7:28:00 AM,134,14,150.5,431.6046,4.851805,20.00154,399.9932,443.4747,98.73715,195.9427,100,441.4894,4.883709,-10.5372
