"Month","chamber","leaf","drydown","light","Trmmol","Cond","leaflight","mid","pre","temp","pre_mp","mid_mp","wpdiff","leafK"
"Mar","ch07","shade","control","low",1.77897218867742,0.102561412580645,"shade-low",11.4,1.4,"ambient",-0.14,-1.14,1,1.77897218867742
"Mar","ch07","sun","control","high",1.63570936890323,0.0953832751290323,"sun-high",21.5,1.9,"ambient",-0.19,-2.15,1.96,0.834545596379197
"Mar","ch09","shade","control","low",2.32010002286667,0.2273100548,"shade-low",11.9,3.4,"ambient",-0.34,-1.19,0.85,2.72952943866667
"Mar","ch09","sun","control","high",1.77609624329032,0.133005843322581,"sun-high",10.9,3.6,"ambient",-0.36,-1.09,0.73,2.4330085524525
"Mar","ch10","sun","control","high",2.26924848746667,0.1580957822,"sun-high",17.2,2.5,"elevated",-0.25,-1.72,1.47,1.54370645405896
"Mar","ch12","shade","control","high",3.82029842612903,0.314134886612903,"shade-high",8.5,1.4,"elevated",-0.14,-0.85,0.71,5.38070200863244
"Mar","ch12","sun","control","high",2.58637032874194,0.160302856548387,"sun-high",11.5,1.3,"elevated",-0.13,-1.15,1.02,2.53565718504111
"Oct","ch01","shade","control","high",2.7051571182,0.2282706774,"shade-high",11.5,2.9,"ambient",-0.29,-1.15,0.86,3.1455315327907
"Oct","ch01","sun","control","high",1.187827377,0.0730048566,"sun-high",10.4,2.8,"ambient",-0.28,-1.04,0.76,1.56293075921053
"Oct","ch02","shade","control","high",1.8191062844,0.136791609,"shade-high",10.6,2.8,"elevated",-0.28,-1.06,0.78,2.33218754410256
"Oct","ch02","sun","control","high",1.8033625714,0.1626067036,"sun-high",19.3,3.6,"elevated",-0.36,-1.93,1.57,1.14863858050955
"Oct","ch03","shade","control","high",1.8982622512,0.166540026,"shade-high",10.8,4,"ambient",-0.4,-1.08,0.68,2.79156213411765
"Oct","ch03","sun","control","high",1.3237365324,0.0943133856,"sun-high",11.2,4.2,"ambient",-0.42,-1.12,0.7,1.89105218914286
"Oct","ch04","shade","control","high",1.8121200142,0.1154447244,"shade-high",22.1,3.8,"elevated",-0.38,-2.21,1.83,0.990229515956284
"Oct","ch04","sun","control","high",1.4832230186,0.0891067452,"sun-high",19.2,5.28,"elevated",-0.528,-1.92,1.392,1.06553377772989
"Oct","ch05","shade","control","high",1.5597141138,0.2018758662,"shade-high",20.1,3.6,"ambient",-0.36,-2.01,1.65,0.945281281090909
"Oct","ch05","sun","control","high",1.2720988256,0.116781548,"sun-high",15.1,3.8,"ambient",-0.38,-1.51,1.13,1.12575117309735
"Oct","ch06","shade","control","high",3.525849568,0.1758333526,"shade-high",36.7,3.78,"elevated",-0.378,-3.67,3.292,1.07103571324423
"Oct","ch06","sun","control","high",1.7071548306,0.0635163418,"sun-high",12.8,3.79,"elevated",-0.379,-1.28,0.901,1.89473344128746
"Oct","ch07","shade","control","high",2.894911739,0.1750570408,"shade-high",32.4,2.21,"ambient",-0.221,-3.24,3.019,0.958897561775422
"Oct","ch07","sun","control","high",2.0095957632,0.1025711594,"sun-high",13.8,3.42,"ambient",-0.342,-1.38,1.038,1.93602674682081
"Oct","ch08","shade","control","high",1.4456724548,0.1295045788,"shade-high",13.89,2.8,"elevated",-0.28,-1.389,1.109,1.30358201514878
"Oct","ch08","sun","control","high",1.2306717198,0.0846709198,"sun-high",11.9,2.4,"elevated",-0.24,-1.19,0.95,1.29544391557895
"Oct","ch09","shade","control","high",2.9440578086,0.198246509,"shade-high",18.8,3.43,"ambient",-0.343,-1.88,1.537,1.91545725998699
"Oct","ch09","sun","control","high",2.257634877,0.141584642,"sun-high",18.8,2.15,"ambient",-0.215,-1.88,1.665,1.35593686306306
"Oct","ch10","shade","control","high",2.6583550682,0.1163169962,"shade-high",11.5,2.3,"elevated",-0.23,-1.15,0.92,2.88951637847826
"Oct","ch10","sun","control","high",1.8612304782,0.076580345,"sun-high",8,2.4,"elevated",-0.24,-0.8,0.56,3.32362585392857
"Oct","ch11","shade","control","low",2.1482027756,0.1460151782,"shade-low",21.6,3.5,"ambient",-0.35,-2.16,1.81,1.18685236220994
"Oct","ch11","sun","control","high",1.2588644488,0.0618899564,"sun-high",10,4.45,"ambient",-0.445,-1,0.555,2.26822423207207
"Oct","ch12","shade","control","low",1.9311944702,0.1088641102,"shade-low",23,2.2,"elevated",-0.22,-2.3,2.08,0.928458879903846
"Oct","ch12","sun","control","high",2.6361394482,0.1304864772,"sun-high",21.37,3.12,"elevated",-0.312,-2.137,1.825,1.44445997161644
